code_zone_geo;zone_geographique;annee;code_indicateur;indicateur;code_type_pers;type_de_personnel;code_taille;taille_d_entreprise;secret;non_disponible;etat_des_donnees;valeur
95;Provence-Alpes-Côte d'Azur + Corse;2005;dird;Dépense intérieure de R&D;;;1;Moins de 250 salariés;non;non;définitif;312.36
95;Provence-Alpes-Côte d'Azur + Corse;2005;pers;Effectifs de R&D;0;Tous types de personnel;2;De 250 à 500 salariés;non;non;définitif;737.46
95;Provence-Alpes-Côte d'Azur + Corse;2006;dird;Dépense intérieure de R&D;;;2;De 250 à 500 salariés;non;non;définitif;91.77
95;Provence-Alpes-Côte d'Azur + Corse;2007;pers;Effectifs de R&D;2;Soutien à la recherche;3;De 500 à 1000 salariés;non;non;définitif;437.89
95;Provence-Alpes-Côte d'Azur + Corse;2008;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;12902.78
95;Provence-Alpes-Côte d'Azur + Corse;2008;pers;Effectifs de R&D;2;Soutien à la recherche;3;De 500 à 1000 salariés;non;non;définitif;382.2
95;Provence-Alpes-Côte d'Azur + Corse;2009;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;941.8
95;Provence-Alpes-Côte d'Azur + Corse;2009;pers;Effectifs de R&D;2;Soutien à la recherche;1;Moins de 250 salariés;non;non;définitif;1590.75
95;Provence-Alpes-Côte d'Azur + Corse;2010;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;4619.54
95;Provence-Alpes-Côte d'Azur + Corse;2011;pers;Effectifs de R&D;0;Tous types de personnel;3;De 500 à 1000 salariés;non;non;définitif;1622.71
95;Provence-Alpes-Côte d'Azur + Corse;2011;pers;Effectifs de R&D;2;Soutien à la recherche;3;De 500 à 1000 salariés;non;non;définitif;617.53
95;Provence-Alpes-Côte d'Azur + Corse;2012;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;non;non;définitif;935.31
